,methane1,methane2,time
0,83,0,13:12:50
1,83,0,13:12:54
2,83,0,13:13:04
3,83,0,13:13:09
4,83,0,13:13:15
5,83,0,13:13:20
6,83,0,13:13:26
7,83,0,13:13:31
8,83,134,13:13:32
9,0,98,13:13:37
10,83,0,13:13:38
11,83,94,13:13:43
12,0,91,13:13:48
13,83,0,13:13:51
14,83,0,13:13:57
15,83,0,13:14:04
16,83,0,13:14:10
17,83,0,13:14:15
18,0,0,13:14:16
19,83,0,13:14:18
20,83,0,13:14:26
21,83,0,13:14:32
22,83,0,13:14:37
23,82,0,13:14:43
24,83,0,13:14:48
25,82,0,13:14:54
26,82,0,13:14:59
27,82,0,13:15:05
28,82,0,13:15:10
29,82,0,13:15:16
30,82,0,13:15:21
31,82,0,13:15:27
32,81,0,13:15:32
33,82,0,13:15:38
34,80,0,13:15:43
35,79,0,13:15:49
36,78,0,13:15:54
37,78,0,13:16:00
38,78,0,13:16:05
39,81,0,13:16:11
40,80,0,13:16:15
41,80,0,13:16:22
42,79,0,13:16:27
43,80,0,13:16:33
44,79,0,13:16:39
45,72,0,13:16:44
46,72,0,13:16:50
47,73,0,13:16:55
48,73,0,13:17:01
49,72,0,13:17:06
50,72,0,13:17:12
51,73,0,13:17:17
52,76,0,13:17:23
53,76,0,13:17:28
54,76,0,13:17:34
55,76,0,13:17:39
56,76,0,13:17:45
57,75,0,13:17:50
58,75,0,13:17:56
59,75,0,13:18:01
60,75,0,13:18:07
61,75,0,13:18:12
62,75,0,13:18:18
63,75,0,13:18:23
64,76,0,13:18:29
65,76,0,13:18:34
66,76,0,13:18:40
67,76,0,13:18:45
68,78,0,13:21:25
69,78,0,13:21:31
70,78,0,13:21:36
71,78,0,13:21:42
72,82,98,13:21:47
73,83,102,13:21:53
74,83,101,13:21:58
75,0,100,13:21:59
76,71,99,13:22:04
77,78,0,13:22:09
78,0,102,13:22:10
79,82,102,13:22:15
80,66,0,13:22:20
81,0,101,13:22:21
82,65,101,13:22:26
83,65,0,13:22:31
84,0,101,13:22:32
85,65,101,13:22:37
86,65,0,13:22:42
87,0,101,13:22:43
88,65,100,13:22:48
89,65,0,13:22:53
90,0,101,13:22:54
91,65,100,13:22:59
92,65,0,13:23:04
93,0,99,13:23:05
94,77,101,13:23:15
95,0,101,13:23:16
96,75,101,13:23:21
97,104,0,13:23:26
98,0,101,13:23:27
99,79,100,13:23:32
100,0,101,13:23:42
101,71,101,13:23:43
102,67,0,13:23:48
103,0,101,13:23:49
104,66,0,13:23:54
105,0,101,13:23:55
106,65,0,13:23:59
107,0,101,13:24:00
108,64,0,13:24:05
109,0,101,13:24:06
110,64,0,13:24:10
111,0,101,13:24:11
112,65,0,13:24:16
113,0,102,13:24:17
114,65,0,13:24:21
115,0,103,13:24:22
116,65,0,13:24:27
117,0,103,13:24:28
118,65,0,13:24:32
119,0,104,13:24:33
120,65,0,13:24:38
121,0,104,13:24:39
122,66,0,13:24:43
123,0,101,13:24:44
124,65,0,13:24:49
125,0,100,13:24:50
126,66,0,13:24:54
127,0,101,13:24:55
128,66,0,13:25:00
129,0,102,13:25:01
130,65,0,13:25:05
131,0,101,13:25:06
132,65,0,13:25:11
133,0,100,13:25:12
134,66,0,13:25:16
135,0,101,13:25:17
136,66,0,13:25:22
137,0,101,13:25:23
138,65,0,13:25:27
139,0,100,13:25:28
140,66,0,13:25:33
141,0,99,13:25:34
142,66,0,13:25:38
143,0,100,13:25:39
144,66,0,13:25:44
145,0,100,13:25:45
146,67,0,13:25:49
147,0,100,13:25:50
148,67,0,13:25:55
149,0,100,13:25:56
150,67,0,13:26:00
151,0,96,13:26:01
152,68,0,13:26:06
153,0,100,13:26:07
154,68,0,13:26:11
155,0,100,13:26:12
156,69,0,13:26:17
157,0,100,13:26:18
158,69,0,13:26:22
159,70,0,13:26:28
160,0,100,13:26:29
161,70,0,13:26:33
162,0,100,13:26:34
163,70,0,13:26:39
164,71,0,13:26:45
165,70,0,13:26:50
166,70,0,13:26:56
167,70,0,13:27:01
168,71,0,13:27:07
169,71,0,13:27:12
170,71,0,13:27:18
171,72,0,13:27:23
172,72,0,13:27:29
173,72,0,13:27:35
174,72,0,13:27:40
175,73,0,13:27:46
176,73,0,13:27:51
177,73,0,13:27:57
178,73,0,13:28:02
179,73,0,13:28:08
180,73,0,13:28:13
181,73,0,13:28:19
182,73,0,13:28:24
183,73,0,13:28:30
184,74,0,13:28:35
185,74,0,13:28:41
186,74,0,13:28:46
187,74,0,13:28:52
188,75,0,13:28:57
189,75,0,13:29:03
190,75,0,13:29:08
191,74,0,13:29:14
192,74,0,13:29:19
193,0,108,13:29:20
194,74,0,13:29:24
195,0,106,13:29:25
196,74,0,13:29:29
197,0,108,13:29:31
198,74,0,13:29:35
199,0,102,13:29:36
200,75,0,13:29:40
201,0,103,13:29:42
202,76,0,13:29:46
203,0,103,13:29:47
204,76,0,13:29:51
205,0,105,13:29:53
206,76,0,13:29:57
207,0,114,13:29:58
208,75,0,13:30:02
209,0,113,13:30:04
210,75,0,13:30:08
211,0,106,13:30:09
212,75,0,13:30:13
213,0,111,13:30:15
214,75,0,13:30:19
215,0,107,13:30:20
216,76,0,13:30:24
217,0,107,13:30:26
218,76,0,13:30:30
219,0,108,13:30:31
220,78,0,13:30:35
221,0,106,13:30:37
222,80,0,13:30:41
223,0,103,13:30:42
224,82,0,13:30:46
225,0,103,13:30:48
226,83,0,13:30:52
227,0,105,13:30:53
228,85,0,13:30:57
229,0,107,13:30:59
230,85,0,13:31:03
231,0,107,13:31:05
232,86,0,13:31:08
233,0,107,13:31:10
234,87,0,13:31:14
235,0,106,13:31:16
236,88,0,13:31:19
237,0,105,13:31:21
238,89,0,13:31:25
239,0,106,13:31:27
240,90,0,13:31:30
241,0,106,13:31:32
242,91,0,13:31:36
243,0,105,13:31:38
244,91,0,13:31:41
245,0,108,13:31:43
246,92,0,13:31:47
247,0,108,13:31:49
248,93,0,13:31:52
249,0,109,13:31:54
250,94,0,13:31:58
251,0,106,13:32:00
252,94,0,13:32:03
253,0,106,13:32:05
254,95,0,13:32:09
255,0,105,13:32:11
256,95,0,13:32:14
257,0,103,13:32:16
258,96,0,13:32:20
259,0,101,13:32:22
260,96,0,13:32:25
261,0,101,13:32:27
262,96,0,13:32:31
263,0,101,13:32:33
264,97,0,13:32:36
265,97,0,13:32:43
266,0,102,13:32:44
267,97,0,13:32:47
268,0,102,13:32:49
269,97,0,13:32:53
270,0,101,13:32:55
271,96,0,13:32:58
272,93,0,13:33:04
273,0,101,13:33:06
274,86,0,13:33:09
275,0,101,13:33:11
276,76,0,13:33:15
277,0,100,13:33:17
278,69,0,13:33:20
279,0,100,13:33:22
280,66,0,13:33:26
281,0,100,13:33:28
282,64,0,13:33:31
283,0,100,13:33:33
284,64,0,13:33:37
285,0,100,13:33:39
286,63,0,13:33:42
287,0,100,13:33:44
288,0,101,13:33:50
289,0,100,13:33:55
290,0,101,13:34:01
291,0,100,13:34:09
292,0,100,13:34:15
293,0,100,13:34:20
294,0,100,13:34:26
295,0,100,13:34:31
296,0,101,13:34:37
297,0,101,13:34:47
298,0,102,13:34:53
299,0,102,13:34:59
300,0,105,13:35:04
301,201,0,13:41:15
302,188,0,13:41:21
303,140,0,13:41:26
304,136,0,13:41:32
305,129,0,13:41:37
306,95,0,13:41:48
307,95,0,13:41:54
