methane,hydrogen,humidity,temperature,sensor,time
83,159,49,22,1,13:12:50
83,159,49,22,1,13:12:54
83,159,49,22,1,13:13:04
83,159,49,22,1,13:13:09
83,159,49,22,1,13:13:15
83,159,49,22,1,13:13:20
83,158,49,22,1,13:13:26
83,158,49,22,1,13:13:31
83,159,49,22,1,13:13:32
83,159,49,22,1,13:13:38
83,159,49,22,1,13:13:43
83,159,49,22,1,13:13:51
83,159,49,22,1,13:13:57
83,159,49,22,1,13:14:04
83,160,49,22,1,13:14:10
83,160,49,22,1,13:14:15
0,13,49,22,1,13:14:16
83,160,49,22,1,13:14:18
83,160,49,22,1,13:14:26
83,160,49,22,1,13:14:32
83,159,49,22,1,13:14:37
82,159,49,22,1,13:14:43
83,159,49,22,1,13:14:48
82,158,49,22,1,13:14:54
82,158,49,22,1,13:14:59
82,158,49,22,1,13:15:05
82,158,49,22,1,13:15:10
82,158,49,22,1,13:15:16
82,158,49,22,1,13:15:21
82,158,49,22,1,13:15:27
81,157,49,22,1,13:15:32
82,158,49,22,1,13:15:38
80,156,49,22,1,13:15:43
79,155,49,22,1,13:15:49
78,156,49,22,1,13:15:54
78,156,49,22,1,13:16:00
78,155,49,22,1,13:16:05
81,168,49,22,1,13:16:11
13,2830,49,22,1,13:16:11
80,161,50,22,1,13:16:15
80,167,51,22,1,13:16:22
79,166,50,22,1,13:16:27
80,174,51,22,1,13:16:33
79,171,50,22,1,13:16:39
72,153,51,22,1,13:16:44
72,153,50,22,1,13:16:50
73,157,50,22,1,13:16:55
73,154,49,22,1,13:17:01
72,154,49,22,1,13:17:06
72,153,49,22,1,13:17:12
73,152,49,22,1,13:17:17
76,157,49,22,1,13:17:23
76,151,49,22,1,13:17:28
76,151,49,22,1,13:17:34
76,151,49,22,1,13:17:39
76,150,49,22,1,13:17:45
75,149,49,22,1,13:17:50
75,149,49,22,1,13:17:56
75,148,49,22,1,13:18:01
75,148,49,22,1,13:18:07
75,148,49,22,1,13:18:12
75,148,49,22,1,13:18:18
75,148,49,22,1,13:18:23
76,148,49,22,1,13:18:29
76,147,49,22,1,13:18:34
76,147,49,22,1,13:18:40
76,146,49,22,1,13:18:45
78,142,49,22,1,13:21:25
78,142,49,22,1,13:21:31
78,143,49,22,1,13:21:36
78,141,49,22,1,13:21:42
82,141,49,22,1,13:21:47
83,141,49,22,1,13:21:53
83,140,49,22,1,13:21:58
71,136,49,22,1,13:22:04
78,139,49,22,1,13:22:09
82,143,49,22,1,13:22:15
66,119,49,22,1,13:22:20
65,122,49,22,1,13:22:26
65,121,49,22,1,13:22:31
65,123,49,22,1,13:22:37
65,125,49,22,1,13:22:42
65,126,49,22,1,13:22:48
65,127,49,22,1,13:22:53
65,128,49,22,1,13:22:59
65,128,49,22,1,13:23:04
77,136,49,22,1,13:23:15
75,137,49,22,1,13:23:21
104,166,49,22,1,13:23:26
79,138,49,22,1,13:23:32
71,137,49,22,1,13:23:43
67,130,49,22,1,13:23:48
66,130,48,22,1,13:23:54
65,129,48,22,1,13:23:59
64,128,48,22,1,13:24:05
64,128,48,22,1,13:24:10
65,127,48,22,1,13:24:16
65,126,48,22,1,13:24:21
65,126,48,22,1,13:24:27
65,125,48,22,1,13:24:32
65,125,48,22,1,13:24:38
66,124,48,22,1,13:24:43
65,124,48,22,1,13:24:49
66,123,48,22,1,13:24:54
66,123,48,22,1,13:25:00
65,122,48,22,1,13:25:05
65,122,48,22,1,13:25:11
66,122,48,22,1,13:25:16
66,122,48,22,1,13:25:22
65,121,49,22,1,13:25:27
66,121,49,22,1,13:25:33
66,121,49,22,1,13:25:38
66,120,49,22,1,13:25:44
67,120,49,22,1,13:25:49
67,120,49,22,1,13:25:55
67,119,49,22,1,13:26:00
68,119,49,22,1,13:26:06
68,119,49,22,1,13:26:11
69,119,49,23,1,13:26:17
69,119,49,23,1,13:26:22
70,119,49,23,1,13:26:28
70,119,49,23,1,13:26:33
70,119,49,23,1,13:26:39
71,119,49,23,1,13:26:45
70,119,49,23,1,13:26:50
70,119,49,23,1,13:26:56
70,119,49,23,1,13:27:01
71,119,49,23,1,13:27:07
71,119,49,23,1,13:27:12
71,119,49,23,1,13:27:18
72,119,49,23,1,13:27:23
72,119,49,23,1,13:27:29
72,119,49,23,1,13:27:35
72,119,49,23,1,13:27:40
73,118,49,23,1,13:27:46
73,118,49,23,1,13:27:51
73,118,49,23,1,13:27:57
73,118,49,23,1,13:28:02
73,118,49,23,1,13:28:08
73,118,49,23,1,13:28:13
73,118,49,23,1,13:28:19
73,118,49,23,1,13:28:24
73,118,49,23,1,13:28:30
74,118,49,23,1,13:28:35
74,118,49,23,1,13:28:41
74,118,49,23,1,13:28:46
74,118,49,23,1,13:28:52
75,118,49,23,1,13:28:57
75,118,49,23,1,13:29:03
75,118,49,23,1,13:29:08
74,118,49,23,1,13:29:14
74,118,49,23,1,13:29:19
74,118,49,23,1,13:29:24
74,118,49,23,1,13:29:29
74,118,49,23,1,13:29:35
